fecha,dst_index,bz_gse,vsw
2024-01-01 00:00:00,-8.51,-0.76,403.6
2024-01-01 01:00:00,-9.12,1.38,421.6
2024-01-01 02:00:00,-5.56,-2.62,374.2
2024-01-01 03:00:00,-1.9,-2.3,450.9
2024-01-01 04:00:00,-6.37,-0.6,338.6
2024-01-01 05:00:00,-5.87,-2.73,443.7
2024-01-01 06:00:00,-0.26,-3.8,398.6
2024-01-01 07:00:00,-2.87,-2.99,430.1
2024-01-01 08:00:00,-7.08,-0.49,410.9
2024-01-01 09:00:00,-4.84,1.26,410.4
2024-01-01 10:00:00,-8.89,1.3,416.6
2024-01-01 11:00:00,-10.1,3.18,424.3
2024-01-01 12:00:00,-9.27,0.2,390.1
2024-01-01 13:00:00,-17.03,0.47,431.0
2024-01-01 14:00:00,-17.67,-0.5,367.5
2024-01-01 15:00:00,-15.22,-0.4,399.8
2024-01-01 16:00:00,-17.37,4.16,425.1
2024-01-01 17:00:00,-13.89,0.52,429.9
2024-01-01 18:00:00,-17.72,0.7,413.8
2024-01-01 19:00:00,-19.07,-2.29,388.2
2024-01-01 20:00:00,-9.93,0.82,426.9
2024-01-01 21:00:00,-14.21,1.32,379.9
2024-01-01 22:00:00,-12.3,2.22,452.5
2024-01-01 23:00:00,-15.57,1.26,397.5
2024-01-02 00:00:00,-11.63,-0.25,353.8
2024-01-02 01:00:00,-8.37,-0.34,364.2
2024-01-02 02:00:00,-10.95,-0.14,401.3
2024-01-02 03:00:00,-5.34,0.21,404.2
2024-01-02 04:00:00,-7.47,2.54,459.1
2024-01-02 05:00:00,-6.05,2.15,368.8
2024-01-02 06:00:00,-6.81,1.51,401.2
2024-01-02 07:00:00,0.39,4.06,368.2
2024-01-02 08:00:00,-5.71,-5.31,385.2
2024-01-02 09:00:00,-9.64,-0.92,450.5
2024-01-02 10:00:00,-5.03,-0.02,365.9
2024-01-02 11:00:00,-12.37,-1.34,417.6
2024-01-02 12:00:00,-9.37,-1.86,411.8
2024-01-02 13:00:00,-17.17,-3.43,399.3
